Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,984.60,971.00,133.27,847.00,1194.00,ms
Desktop,FCP,1284.19,1194.81,131.80,1177.61,1433.25,ms
Desktop,TBT,0.00,0.00,0.00,0.00,0.00,ms
Desktop,LCP,2076.92,2000.91,197.64,1884.64,2309.48,ms
Desktop,CLS,0.0023,0.0016,0.0009,0.0016,0.0032,
Desktop,SI,2596.87,2447.74,261.68,2396.36,3014.16,ms
Desktop,Total Transfer Size,822.07,822.07,0.25,821.72,822.43,KB
Mobile,TTFB,977.60,984.00,91.84,841.00,1064.00,ms
Mobile,FCP,4317.44,4607.83,525.55,3751.93,4858.78,ms
Mobile,TBT,11.50,12.00,0.71,10.50,12.00,ms
Mobile,LCP,7927.78,8293.18,723.79,7136.32,8708.48,ms
Mobile,CLS,0.0018,0.0026,0.0013,0.0000,0.0028,
Mobile,SI,7615.68,6924.84,1201.30,6516.40,9220.88,ms
Mobile,Total Transfer Size,822.23,822.29,0.19,821.99,822.46,KB
