Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,115.00,117.00,9.41,105.00,127.00,ms
Desktop,FCP,1313.01,1372.97,134.42,1073.00,1384.56,ms
Desktop,TBT,0.00,0.00,0.00,0.00,0.00,ms
Desktop,LCP,1422.38,1494.30,167.61,1123.00,1510.92,ms
Desktop,CLS,0.0013,0.0013,0.0000,0.0013,0.0013,
Desktop,SI,1479.78,1466.70,110.09,1344.00,1629.84,ms
Desktop,Total Transfer Size,245.75,245.83,0.25,245.31,245.93,KB
Mobile,TTFB,116.60,115.00,7.02,107.00,126.00,ms
Mobile,FCP,3744.82,3826.21,362.80,3293.41,4115.70,ms
Mobile,TBT,9.80,10.00,2.31,6.50,13.00,ms
Mobile,LCP,3939.63,3969.39,342.14,3402.91,4269.14,ms
Mobile,CLS,0.0003,0.0000,0.0004,0.0000,0.0008,
Mobile,SI,4500.21,4115.70,944.64,3445.61,5837.39,ms
Mobile,Total Transfer Size,245.91,245.92,0.09,245.80,246.00,KB
