Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,178.60,165.00,25.18,158.00,206.00,ms
Desktop,FCP,729.50,687.73,75.99,665.04,837.47,ms
Desktop,TBT,39.45,0.00,88.22,0.00,197.26,ms
Desktop,LCP,939.38,842.18,150.74,817.91,1140.82,ms
Desktop,CLS,0.0024,0.0024,0.0000,0.0024,0.0024,
Desktop,SI,4557.93,4631.52,814.51,3742.40,5731.11,ms
Desktop,Total Transfer Size,329.83,249.15,180.33,248.80,652.41,KB
Mobile,TTFB,181.80,180.00,18.74,162.00,206.00,ms
Mobile,FCP,2453.37,2448.23,29.60,2416.94,2485.52,ms
Mobile,TBT,0.70,0.00,1.30,0.00,3.00,ms
Mobile,LCP,3284.96,3275.47,43.68,3234.23,3335.75,ms
Mobile,CLS,0.0008,0.0008,0.0000,0.0008,0.0008,
Mobile,SI,11046.16,11346.95,1469.71,9503.49,12669.04,ms
Mobile,Total Transfer Size,249.70,249.79,0.47,249.01,250.17,KB
