Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,60.80,61.00,1.92,58.00,63.00,ms
Desktop,FCP,329.69,329.01,1.65,327.87,331.73,ms
Desktop,TBT,0.00,0.00,0.00,0.00,0.00,ms
Desktop,LCP,445.29,444.74,1.53,443.87,447.12,ms
Desktop,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Desktop,SI,329.69,329.01,1.65,327.87,331.73,ms
Desktop,Total Transfer Size,574.04,574.06,0.15,573.83,574.19,KB
Mobile,TTFB,63.80,64.00,3.35,60.00,68.00,ms
Mobile,FCP,1004.05,1003.98,2.27,1002.11,1007.73,ms
Mobile,TBT,4.40,4.00,2.70,2.00,9.00,ms
Mobile,LCP,2502.65,2504.11,8.90,2487.98,2511.23,ms
Mobile,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Mobile,SI,1008.53,1004.23,9.22,1002.11,1024.63,ms
Mobile,Total Transfer Size,383.30,383.34,0.13,383.09,383.42,KB
