Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,305.80,353.00,64.69,231.00,353.00,ms
Desktop,FCP,312.20,320.00,18.85,292.00,331.00,ms
Desktop,TBT,17.60,5.00,21.96,0.00,43.50,ms
Desktop,LCP,505.80,521.00,37.76,441.00,538.00,ms
Desktop,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Desktop,SI,1041.20,953.26,193.50,874.54,1250.33,ms
Desktop,Total Transfer Size,510.26,510.26,0.11,510.09,510.36,KB
Mobile,TTFB,416.40,354.00,86.65,353.00,521.00,ms
Mobile,FCP,1079.80,1079.00,10.28,1066.00,1095.00,ms
Mobile,TBT,37.20,45.00,16.05,14.00,50.00,ms
Mobile,LCP,2341.00,2251.00,201.25,2251.00,2701.00,ms
Mobile,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Mobile,SI,2688.97,2900.24,308.74,2291.45,2917.92,ms
Mobile,Total Transfer Size,437.18,437.16,0.03,437.16,437.21,KB
