Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,286.00,265.00,61.39,231.00,353.00,ms
Desktop,FCP,318.60,315.00,13.65,306.00,342.00,ms
Desktop,TBT,14.80,14.00,12.09,3.00,29.00,ms
Desktop,LCP,553.00,561.00,43.82,481.00,601.00,ms
Desktop,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Desktop,SI,917.16,871.93,113.72,858.80,1120.32,ms
Desktop,Total Transfer Size,446.51,446.54,0.13,446.28,446.58,KB
Mobile,TTFB,303.80,347.00,61.47,236.00,352.00,ms
Mobile,FCP,1076.00,1069.00,11.38,1066.00,1092.00,ms
Mobile,TBT,19.80,20.00,12.17,6.00,39.00,ms
Mobile,LCP,2108.80,2401.00,573.22,1090.00,2401.00,ms
Mobile,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Mobile,SI,2619.33,2717.78,396.60,2146.73,2985.39,ms
Mobile,Total Transfer Size,373.45,373.46,0.03,373.40,373.49,KB
