Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,293.80,350.00,79.37,182.00,350.00,ms
Desktop,FCP,318.60,318.00,13.67,298.00,336.00,ms
Desktop,TBT,14.20,10.00,7.16,8.00,25.00,ms
Desktop,LCP,535.00,561.00,63.87,421.00,571.00,ms
Desktop,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Desktop,SI,1129.03,900.91,424.32,872.01,1861.10,ms
Desktop,Total Transfer Size,669.96,670.04,0.14,669.81,670.10,KB
Mobile,TTFB,360.60,349.00,100.81,232.00,515.00,ms
Mobile,FCP,1090.20,1094.00,15.14,1065.00,1106.00,ms
Mobile,TBT,13.00,15.00,6.93,3.00,19.00,ms
Mobile,LCP,2285.30,2551.00,681.08,1072.50,2701.00,ms
Mobile,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Mobile,SI,2629.13,2459.53,367.67,2354.64,3215.46,ms
Mobile,Total Transfer Size,506.76,506.77,0.03,506.73,506.80,KB
