Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,375.80,376.00,44.55,313.00,424.00,ms
Desktop,FCP,988.24,1036.69,153.16,717.14,1088.00,ms
Desktop,TBT,3.50,4.00,2.55,0.00,7.00,ms
Desktop,LCP,2193.84,2189.10,281.48,1836.57,2584.70,ms
Desktop,CLS,0.0379,0.0389,0.0018,0.0347,0.0390,
Desktop,SI,1095.51,1133.33,153.03,831.14,1224.77,ms
Desktop,Total Transfer Size,5049.05,5049.05,0.01,5049.03,5049.05,KB
Mobile,TTFB,397.60,371.00,72.79,327.00,485.00,ms
Mobile,FCP,2113.92,2101.15,182.79,1948.28,2418.41,ms
Mobile,TBT,149.80,149.00,10.72,134.50,164.50,ms
Mobile,LCP,2143.93,2101.15,159.65,1998.94,2418.41,ms
Mobile,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Mobile,SI,2168.27,2134.90,159.00,1988.41,2418.41,ms
Mobile,Total Transfer Size,5047.74,5047.75,0.03,5047.70,5047.76,KB
