Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,481.20,481.00,72.07,392.00,592.00,ms
Desktop,FCP,1093.67,1179.23,246.16,825.58,1319.23,ms
Desktop,TBT,1.30,1.00,0.91,0.50,2.50,ms
Desktop,LCP,1413.67,1400.71,236.31,1110.87,1668.99,ms
Desktop,CLS,0.0031,0.0024,0.0015,0.0024,0.0058,
Desktop,SI,1197.11,1290.48,202.73,964.09,1411.96,ms
Desktop,Total Transfer Size,2789.06,2789.07,0.01,2789.04,2789.08,KB
Mobile,TTFB,476.40,470.00,56.99,418.00,543.00,ms
Mobile,FCP,2864.06,2828.90,83.80,2823.28,3013.87,ms
Mobile,TBT,161.70,162.00,12.99,147.50,182.00,ms
Mobile,LCP,3896.60,3880.49,30.77,3873.95,3948.42,ms
Mobile,CLS,0.0000,0.0000,0.0000,0.0000,0.0000,
Mobile,SI,2864.06,2828.90,83.80,2823.28,3013.87,ms
Mobile,Total Transfer Size,2787.76,2787.76,0.02,2787.74,2787.79,KB
