Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,11.60,10.00,3.85,8.00,18.00,ms
Desktop,FCP,575.71,561.23,38.62,541.58,640.90,ms
Desktop,TBT,172.50,163.50,93.47,94.00,326.00,ms
Desktop,LCP,1100.55,760.71,768.52,725.59,2474.28,ms
Desktop,CLS,0.0163,0.0159,0.0009,0.0157,0.0179,
Desktop,SI,3392.11,3075.62,1078.55,2608.31,5254.66,ms
Desktop,Total Transfer Size,4903.42,4903.47,0.14,4903.22,4903.55,KB
Mobile,TTFB,9.40,10.00,2.07,6.00,11.00,ms
Mobile,FCP,1984.25,1993.42,16.31,1959.96,1998.28,ms
Mobile,TBT,165.30,144.50,67.66,83.50,249.00,ms
Mobile,LCP,2441.83,2706.83,425.83,1959.96,2835.59,ms
Mobile,CLS,0.0130,0.0129,0.0033,0.0080,0.0159,
Mobile,SI,8186.56,7371.10,2190.77,6721.32,12038.49,ms
Mobile,Total Transfer Size,4902.30,4902.21,0.28,4902.12,4902.79,KB
