Plataforma,Métrica,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,TTFB,8.60,8.00,2.07,7.00,12.00,ms
Desktop,FCP,725.90,716.85,38.12,693.81,786.90,ms
Desktop,TBT,148.40,141.00,74.08,66.00,228.50,ms
Desktop,LCP,1250.03,1245.43,68.11,1162.24,1343.48,ms
Desktop,CLS,0.0020,0.0020,0.0000,0.0020,0.0020,
Desktop,SI,2875.00,2932.76,325.73,2524.95,3314.06,ms
Desktop,Total Transfer Size,2643.11,2643.42,0.72,2641.82,2643.46,KB
Mobile,TTFB,13.00,9.00,6.44,8.00,23.00,ms
Mobile,FCP,2659.91,2649.58,80.82,2547.38,2762.52,ms
Mobile,TBT,300.70,337.50,171.46,98.00,469.00,ms
Mobile,LCP,4915.22,4922.89,237.64,4645.23,5269.82,ms
Mobile,CLS,0.0050,0.0047,0.0004,0.0047,0.0055,
Mobile,SI,10207.73,10221.54,3205.02,6999.83,14149.26,ms
Mobile,Total Transfer Size,2637.19,2642.11,11.06,2617.40,2642.19,KB
